"soil_salinity","soil_pH","water_temperature","water_salinity","soil_nutrient","salt_tolerant_rice","Shrimp_stockiing_density","water_color_management","rice_color","probability_of_rice_faliure","probability_of_shrimp_faliure"
"1","1","2","1","2","2","2","2","2","0.308337","0.401745"
"1","1","2","1","2","2","2","1","3","0.583338","0.407279"
"1","1","2","1","2","2","2","2","3","0.583338","0.401745"
"1","1","2","1","2","2","2","1","4","0.5875","0.407279"
"1","1","2","1","2","2","2","2","4","0.5875","0.401745"
"1","1","2","1","2","2","3","1","1","0.125","0.639571"
"1","1","2","1","2","2","3","2","1","0.125","0.635045"
"1","1","2","1","2","2","3","1","2","0.308338","0.639571"
"1","1","2","1","2","2","3","2","2","0.308337","0.635045"
"1","1","2","1","2","2","3","1","3","0.583337","0.639571"
"1","1","2","1","2","2","3","2","3","0.583338","0.635045"
"1","1","2","1","2","2","3","1","4","0.5875","0.639571"
"1","1","2","1","2","2","3","2","4","0.5875","0.635045"
"1","1","2","2","1","1","1","1","1","1","0.219973"
"1","1","2","2","1","1","1","2","1","1","0.309382"
"1","1","2","2","1","1","1","1","2","1","0.219973"
"1","1","2","2","1","1","1","2","2","1","0.309382"
"1","1","2","2","1","1","1","1","3","1","0.219973"
"1","1","2","2","1","1","1","2","3","1","0.309382"
"1","1","2","2","1","1","1","1","4","1","0.219973"
"1","1","2","2","1","1","1","2","4","1","0.309382"
"1","1","2","2","1","1","2","1","1","1","0.346153"
"1","1","2","2","1","1","2","2","1","1","0.426011"
"1","1","2","2","1","1","2","1","2","1","0.346153"
"1","1","2","2","1","1","2","2","2","1","0.426011"
"1","1","2","2","1","1","2","1","3","1","0.346153"
"1","1","2","2","1","1","2","2","3","1","0.426011"
"1","1","2","2","1","1","2","1","4","1","0.346153"
"1","1","2","2","1","1","2","2","4","1","0.426011"
"1","1","2","2","1","1","3","1","1","1","0.346153"
"1","1","2","2","1","1","3","2","1","1","0.426011"
"1","1","2","2","1","1","3","1","2","1","0.346153"
"1","1","2","2","1","1","3","2","2","1","0.426011"
"1","1","2","2","1","1","3","1","3","1","0.346153"
"1","1","2","2","1","1","3","2","3","1","0.426011"
"1","1","2","2","1","1","3","1","4","1","0.346153"
"1","1","2","2","1","1","3","2","4","1","0.426011"
"1","1","2","2","1","2","1","1","1","1","0.219973"
"1","1","2","2","1","2","1","2","1","1","0.309382"
"1","1","2","2","1","2","1","1","2","1","0.219973"
"1","1","2","2","1","2","1","2","2","1","0.309382"
"1","1","2","2","1","2","1","1","3","1","0.219973"
"1","1","2","2","1","2","1","2","3","1","0.309382"
"1","1","2","2","1","2","1","1","4","1","0.219973"
"1","1","2","2","1","2","1","2","4","1","0.309382"
"1","1","2","2","1","2","2","1","1","1","0.346153"
"1","1","2","2","1","2","2","2","1","1","0.426011"
"1","1","2","2","1","2","2","1","2","1","0.346153"
"1","1","2","2","1","2","2","2","2","1","0.426011"
"1","1","2","2","1","2","2","1","3","1","0.346153"
"1","1","2","2","1","2","2","2","3","1","0.426011"
"1","1","2","2","1","2","2","1","4","1","0.346153"
"1","1","2","2","1","2","2","2","4","1","0.426011"
"1","1","2","2","1","2","3","1","1","1","0.346153"
"1","1","2","2","1","2","3","2","1","1","0.426011"
"1","1","2","2","1","2","3","1","2","1","0.346153"
"1","1","2","2","1","2","3","2","2","1","0.426011"
"1","1","2","2","1","2","3","1","3","1","0.346153"
"1","1","2","2","1","2","3","2","3","1","0.426011"
"1","1","2","2","1","2","3","1","4","1","0.346153"
"1","1","2","2","1","2","3","2","4","1","0.426011"
"1","1","2","2","2","1","1","1","1","1","0.219973"
"1","1","2","2","2","1","1","2","1","1","0.309382"
"1","1","2","2","2","1","1","1","2","1","0.219973"
"1","1","2","2","2","1","1","2","2","1","0.309382"
"1","1","2","2","2","1","1","1","3","1","0.219973"
"1","1","2","2","2","1","1","2","3","1","0.309382"
"1","1","2","2","2","1","1","1","4","1","0.219973"
"1","1","2","2","2","1","1","2","4","1","0.309382"
"1","1","2","2","2","1","2","1","1","1","0.346153"
"1","1","2","2","2","1","2","2","1","1","0.426011"
"1","1","2","2","2","1","2","1","2","1","0.346153"
"1","1","2","2","2","1","2","2","2","1","0.426011"
"1","1","2","2","2","1","2","1","3","1","0.346153"
"1","1","2","2","2","1","2","2","3","1","0.426011"
"1","1","2","2","2","1","2","1","4","1","0.346153"
"1","1","2","2","2","1","2","2","4","1","0.426011"
"1","1","2","2","2","1","3","1","1","1","0.346153"
"1","1","2","2","2","1","3","2","1","1","0.426011"
"1","1","2","2","2","1","3","1","2","1","0.346153"
"1","1","2","2","2","1","3","2","2","1","0.426011"
"1","1","2","2","2","1","3","1","3","1","0.346153"
"1","1","2","2","2","1","3","2","3","1","0.426011"
"1","1","2","2","2","1","3","1","4","1","0.346153"
"1","1","2","2","2","1","3","2","4","1","0.426011"
"1","1","2","2","2","2","1","1","1","1","0.219973"
"1","1","2","2","2","2","1","2","1","1","0.309382"
"1","1","2","2","2","2","1","1","2","1","0.219973"
"1","1","2","2","2","2","1","2","2","1","0.309382"
"1","1","2","2","2","2","1","1","3","1","0.219973"
"1","1","2","2","2","2","1","2","3","1","0.309382"
"1","1","2","2","2","2","1","1","4","1","0.219973"
"1","1","2","2","2","2","1","2","4","1","0.309382"
"1","1","2","2","2","2","2","1","1","1","0.346153"
"1","1","2","2","2","2","2","2","1","1","0.426011"
"1","1","2","2","2","2","2","1","2","1","0.346153"
"1","1","2","2","2","2","2","2","2","1","0.426011"
"1","1","2","2","2","2","2","1","3","1","0.346153"
"1","1","2","2","2","2","2","2","3","1","0.426011"
