"Rain","wet_season","soil_nutrient","lime_soil","soil_tilling","sali_tolerant_rice","water_color_management","shrimp_stocking_density","probability_of_rice_faliure","probability_of_shrimp_faliure"
"1","2","1","3","1","1","1","1","0.235157","0.323724"
"1","2","1","3","1","1","1","2","0.209917","0.32648"
"1","2","1","3","1","1","1","3","0.179721","0.767855"
"1","2","1","3","1","1","2","1","0.235157","0.238165"
"1","2","1","3","1","1","2","2","0.209917","0.238249"
"1","2","1","3","1","1","2","3","0.179721","0.712897"
"1","2","1","3","1","2","1","1","0.216696","0.323724"
"1","2","1","3","1","2","1","2","0.1742","0.32648"
"1","2","1","3","1","2","1","3","0.135497","0.767855"
"1","2","1","3","1","2","2","1","0.216696","0.238165"
"1","2","1","3","1","2","2","2","0.1742","0.238249"
"1","2","1","3","1","2","2","3","0.135497","0.712897"
"1","2","1","3","2","1","1","1","0.228551","0.329522"
"1","2","1","3","2","1","1","2","0.206253","0.324776"
"1","2","1","3","2","1","1","3","0.185349","0.767656"
"1","2","1","3","2","1","2","1","0.228551","0.237671"
"1","2","1","3","2","1","2","2","0.206253","0.231848"
"1","2","1","3","2","1","2","3","0.185349","0.711727"
"1","2","1","3","2","2","1","1","0.183869","0.329522"
"1","2","1","3","2","2","1","2","0.145508","0.324776"
"1","2","1","3","2","2","1","3","0.117089","0.767656"
"1","2","1","3","2","2","2","1","0.183869","0.237671"
"1","2","1","3","2","2","2","2","0.145508","0.231848"
"1","2","1","3","2","2","2","3","0.117089","0.711727"
"1","2","1","4","1","1","1","1","0.226648","0.328259"
"1","2","1","4","1","1","1","2","0.205195","0.324929"
"1","2","1","4","1","1","1","3","0.182547","0.767779"
"1","2","1","4","1","1","2","1","0.226648","0.238039"
"1","2","1","4","1","1","2","2","0.205195","0.233501"
"1","2","1","4","1","1","2","3","0.182547","0.712314"
"1","2","1","4","1","2","1","1","0.196525","0.328259"
"1","2","1","4","1","2","1","2","0.157217","0.324929"
"1","2","1","4","1","2","1","3","0.12602","0.767779"
"1","2","1","4","1","2","2","1","0.196525","0.238039"
"1","2","1","4","1","2","2","2","0.157217","0.233501"
"1","2","1","4","1","2","2","3","0.12602","0.712314"
"1","2","1","4","2","1","1","1","0.239827","0.324916"
"1","2","1","4","2","1","1","2","0.212173","0.326377"
"1","2","1","4","2","1","1","3","0.184439","0.767646"
"1","2","1","4","2","1","2","1","0.239827","0.237593"
"1","2","1","4","2","1","2","2","0.212173","0.23594"
"1","2","1","4","2","1","2","3","0.184439","0.711908"
"1","2","1","4","2","2","1","1","0.200026","0.324916"
"1","2","1","4","2","2","1","2","0.156177","0.326377"
"1","2","1","4","2","2","1","3","0.120485","0.767646"
"1","2","1","4","2","2","2","1","0.200026","0.237593"
"1","2","1","4","2","2","2","2","0.156177","0.23594"
"1","2","1","4","2","2","2","3","0.120485","0.711908"
"1","2","2","1","1","1","1","1","0.394985","0.267354"
"1","2","2","1","1","1","1","2","0.355385","0.362991"
"1","2","2","1","1","1","1","3","0.1646","0.765603"
"1","2","2","1","1","1","2","1","0.394985","0.235506"
"1","2","2","1","1","1","2","2","0.355385","0.323466"
"1","2","2","1","1","1","2","3","0.1646","0.715497"
"1","2","2","1","1","2","1","1","0.378459","0.267354"
"1","2","2","1","1","2","1","2","0.348796","0.362991"
"1","2","2","1","1","2","1","3","0.212298","0.765603"
"1","2","2","1","1","2","2","1","0.378459","0.235506"
"1","2","2","1","1","2","2","2","0.348796","0.323466"
"1","2","2","1","1","2","2","3","0.212298","0.715497"
"1","2","2","1","2","1","1","1","0.382897","0.271135"
"1","2","2","1","2","1","1","2","0.341867","0.359789"
"1","2","2","1","2","1","1","3","0.164054","0.766097"
"1","2","2","1","2","1","2","1","0.382897","0.235791"
"1","2","2","1","2","1","2","2","0.341867","0.316578"
"1","2","2","1","2","1","2","3","0.164054","0.715704"
"1","2","2","1","2","2","1","1","0.369862","0.271135"
"1","2","2","1","2","2","1","2","0.338462","0.359789"
"1","2","2","1","2","2","1","3","0.209429","0.766097"
"1","2","2","1","2","2","2","1","0.369862","0.235791"
"1","2","2","1","2","2","2","2","0.338462","0.316578"
"1","2","2","1","2","2","2","3","0.209429","0.715704"
"1","2","2","2","1","1","1","1","0.358203","0.278859"
"1","2","2","2","1","1","1","2","0.315806","0.353614"
"1","2","2","2","1","1","1","3","0.163213","0.766857"
"1","2","2","2","1","1","2","1","0.358203","0.236374"
"1","2","2","2","1","1","2","2","0.315806","0.3033"
"1","2","2","2","1","1","2","3","0.163213","0.716022"
"1","2","2","2","1","2","1","1","0.352298","0.278859"
"1","2","2","2","1","2","1","2","0.31854","0.353614"
"1","2","2","2","1","2","1","3","0.20501","0.766857"
"1","2","2","2","1","2","2","1","0.352298","0.236374"
"1","2","2","2","1","2","2","2","0.31854","0.3033"
"1","2","2","2","1","2","2","3","0.20501","0.716022"
"1","2","2","2","2","1","1","1","0.329528","0.287879"
"1","2","2","2","2","1","1","2","0.287723","0.346937"
"1","2","2","2","2","1","1","3","0.162861","0.767469"
"1","2","2","2","2","1","2","1","0.329528","0.237041"
"1","2","2","2","2","1","2","2","0.287723","0.288864"
"1","2","2","2","2","1","2","3","0.162861","0.716212"
"1","2","2","2","2","2","1","1","0.331517","0.287879"
"1","2","2","2","2","2","1","2","0.296344","0.346937"
"1","2","2","2","2","2","1","3","0.200277","0.767469"
"1","2","2","2","2","2","2","1","0.331517","0.237041"
"1","2","2","2","2","2","2","2","0.296344","0.288864"
"1","2","2","2","2","2","2","3","0.200277","0.716212"
"1","2","2","3","1","1","1","1","0.332793","0.286806"
"1","2","2","3","1","1","1","2","0.290968","0.347729"
"1","2","2","3","1","1","1","3","0.162595","0.767415"
"1","2","2","3","1","1","2","1","0.332793","0.236973"
"1","2","2","3","1","1","2","2","0.290968","0.290645"
"1","2","2","3","1","1","2","3","0.162595","0.716255"
"1","2","2","3","1","2","1","1","0.334227","0.286806"
"1","2","2","3","1","2","1","2","0.299552","0.347729"
"1","2","2","3","1","2","1","3","0.201763","0.767415"
"1","2","2","3","1","2","2","1","0.334227","0.236973"
"1","2","2","3","1","2","2","2","0.299552","0.290645"
"1","2","2","3","1","2","2","3","0.201763","0.716255"
"1","2","2","3","2","1","1","1","0.3018","0.296761"
"1","2","2","3","2","1","1","2","0.262446","0.340858"
"1","2","2","3","2","1","1","3","0.163495","0.76787"
"1","2","2","3","2","1","2","1","0.3018","0.237658"
"1","2","2","3","2","1","2","2","0.262446","0.275495"
"1","2","2","3","2","1","2","3","0.163495","0.716163"
"1","2","2","3","2","2","1","1","0.31021","0.296761"
"1","2","2","3","2","2","1","2","0.274219","0.340858"
"1","2","2","3","2","2","1","3","0.194049","0.76787"
"1","2","2","3","2","2","2","1","0.31021","0.237658"
"1","2","2","3","2","2","2","2","0.274219","0.275495"
"1","2","2","3","2","2","2","3","0.194049","0.716163"
"1","2","2","4","1","1","1","1","0.313816","0.292835"
"1","2","2","4","1","1","1","2","0.273323","0.343507"
"1","2","2","4","1","1","1","3","0.162795","0.767723"
"1","2","2","4","1","1","2","1","0.313816","0.237404"
"1","2","2","4","1","1","2","2","0.273323","0.281429"
"1","2","2","4","1","1","2","3","0.162795","0.716275"
"1","2","2","4","1","2","1","1","0.320026","0.292835"
"1","2","2","4","1","2","1","2","0.284773","0.343507"
"1","2","2","4","1","2","1","3","0.198019","0.767723"
"1","2","2","4","1","2","2","1","0.320026","0.237404"
"1","2","2","4","1","2","2","2","0.284773","0.281429"
"1","2","2","4","1","2","2","3","0.198019","0.716275"
"1","2","2","4","2","1","1","1","0.316295","0.292226"
"1","2","2","4","2","1","1","2","0.275027","0.343837"
"1","2","2","4","2","1","1","3","0.163817","0.767662"
"1","2","2","4","2","1","2","1","0.316295","0.237317"
"1","2","2","4","2","1","2","2","0.275027","0.281897"
"1","2","2","4","2","1","2","3","0.163817","0.716058"
"1","2","2","4","2","2","1","1","0.320535","0.292226"
"1","2","2","4","2","2","1","2","0.283792","0.343837"
"1","2","2","4","2","2","1","3","0.194929","0.767662"
"1","2","2","4","2","2","2","1","0.320535","0.237317"
"1","2","2","4","2","2","2","2","0.283792","0.281897"
"1","2","2","4","2","2","2","3","0.194929","0.716058"
"1","3","1","1","1","1","1","1","0.781626","0.233935"
"1","3","1","1","1","1","1","2","0.812939","0.349847"
"1","3","1","1","1","1","1","3","0.873494","0.434931"
"1","3","1","1","1","1","2","1","0.781626","0.283052"
"1","3","1","1","1","1","2","2","0.812939","0.397431"
"1","3","1","1","1","1","2","3","0.873494","0.494285"
"1","3","1","1","1","2","1","1","0.761558","0.233935"
"1","3","1","1","1","2","1","2","0.796418","0.349847"
"1","3","1","1","1","2","1","3","0.86476","0.434931"
"1","3","1","1","1","2","2","1","0.761558","0.283052"
"1","3","1","1","1","2","2","2","0.796418","0.397431"
"1","3","1","1","1","2","2","3","0.86476","0.494285"
"1","3","1","1","2","1","1","1","0.787167","0.234527"
"1","3","1","1","2","1","1","2","0.816982","0.348912"
"1","3","1","1","2","1","1","3","0.870244","0.434619"
"1","3","1","1","2","1","2","1","0.787167","0.284222"
"1","3","1","1","2","1","2","2","0.816982","0.396576"
"1","3","1","1","2","1","2","3","0.870244","0.493335"
"1","3","1","1","2","2","1","1","0.767614","0.234527"
"1","3","1","1","2","2","1","2","0.800621","0.348912"
"1","3","1","1","2","2","1","3","0.860537","0.434619"
"1","3","1","1","2","2","2","1","0.767614","0.284222"
"1","3","1","1","2","2","2","2","0.800621","0.396576"
"1","3","1","1","2","2","2","3","0.860537","0.493335"
"1","3","1","2","1","1","1","1","0.7987","0.23576"
"1","3","1","2","1","1","1","2","0.824591","0.347153"
"1","3","1","2","1","1","1","3","0.864793","0.434097"
"1","3","1","2","1","1","2","1","0.7987","0.286658"
"1","3","1","2","1","1","2","2","0.824591","0.394968"
"1","3","1","2","1","1","2","3","0.864793","0.491741"
"1","3","1","2","1","2","1","1","0.780219","0.23576"
"1","3","1","2","1","2","1","2","0.808531","0.347153"
"1","3","1","2","1","2","1","3","0.853451","0.434097"
"1","3","1","2","1","2","2","1","0.780219","0.286658"
"1","3","1","2","1","2","2","2","0.808531","0.394968"
"1","3","1","2","1","2","2","3","0.853451","0.491741"
"1","3","1","2","2","1","1","1","0.809522","0.237391"
"1","3","1","2","2","1","1","2","0.830594","0.345639"
"1","3","1","2","2","1","1","3","0.85887","0.433573"
"1","3","1","2","2","1","2","1","0.809522","0.289048"
"1","3","1","2","2","1","2","2","0.830594","0.393149"
"1","3","1","2","2","1","2","3","0.85887","0.490057"
"1","3","1","2","2","2","1","1","0.791774","0.237391"
"1","3","1","2","2","2","1","2","0.814441","0.345639"
"1","3","1","2","2","2","1","3","0.845764","0.433573"
"1","3","1","2","2","2","2","1","0.791774","0.289048"
"1","3","1","2","2","2","2","2","0.814441","0.393149"
